season,week,defteam,total_pass_plays,blitz_rate,pressure_rate,man_coverage_pct,zone_coverage_pct
2025,1,ARI,47,0.02127659574468085,0.0425531914893617,0.19148936170212766,0.8085106382978723
2025,1,ATL,33,0.030303030303030304,0.06060606060606061,0.21212121212121213,0.7878787878787878
2025,1,BAL,50,0.04,0.06,0.08,0.92
2025,1,BUF,21,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.9523809523809523
2025,1,CAR,31,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.8709677419354839
2025,1,CHI,25,0.12,0.2,0.2,0.8
2025,1,CIN,47,0.06382978723404255,0.10638297872340426,0.1276595744680851,0.8723404255319149
2025,1,CLE,26,0.11538461538461539,0.2692307692307692,0.19230769230769232,0.8076923076923077
2025,1,DAL,24,0.041666666666666664,0.20833333333333334,0,1
2025,1,DEN,34,0.17647058823529413,0.4117647058823529,0.11764705882352941,0.8823529411764706
2025,1,DET,22,0,0.09090909090909091,0.045454545454545456,0.9545454545454546
2025,1,GB,43,0.11627906976744186,0.18604651162790697,0.046511627906976744,0.9534883720930233
2025,1,HOU,32,0.125,0.1875,0.03125,0.96875
2025,1,IND,35,0.11428571428571428,0.17142857142857143,0.14285714285714285,0.8571428571428571
2025,1,JAX,36,0.05555555555555555,0.1388888888888889,0.2222222222222222,0.7777777777777778
2025,1,KC,37,0.08108108108108109,0.10810810810810811,0.05405405405405406,0.9459459459459459
2025,1,LA,30,0.1,0.23333333333333334,0.13333333333333333,0.8666666666666667
2025,1,LAC,42,0.07142857142857142,0.19047619047619047,0.09523809523809523,0.9047619047619048
2025,1,LV,50,0.12,0.22,0.08,0.92
2025,1,MIA,30,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.8666666666666667
2025,1,MIN,37,0.10810810810810811,0.10810810810810811,0.08108108108108109,0.918918918918919
2025,1,NE,38,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.8947368421052632
2025,1,NO,34,0.20588235294117646,0.14705882352941177,0.11764705882352941,0.8823529411764706
2025,1,NYG,33,0.06060606060606061,0.12121212121212122,0.09090909090909091,0.9090909090909091
2025,1,NYJ,34,0.17647058823529413,0.20588235294117646,0.11764705882352941,0.8823529411764706
2025,1,PHI,34,0.058823529411764705,0.029411764705882353,0.17647058823529413,0.8235294117647058
2025,1,PIT,24,0.041666666666666664,0.25,0.16666666666666666,0.8333333333333334
2025,1,SEA,36,0.027777777777777776,0.2222222222222222,0.1111111111111111,0.8888888888888888
2025,1,SF,24,0.125,0.125,0.08333333333333333,0.9166666666666666
2025,1,TB,43,0.06976744186046512,0.09302325581395349,0.13953488372093023,0.8604651162790697
2025,1,TEN,41,0.07317073170731707,0.12195121951219512,0.12195121951219512,0.8780487804878049
2025,1,WAS,39,0.07692307692307693,0.20512820512820512,0.1794871794871795,0.8205128205128205
2025,2,ARI,58,0.06896551724137931,0.1724137931034483,0.13793103448275862,0.8620689655172413
2025,2,ATL,27,0.14814814814814814,0.3333333333333333,0.14814814814814814,0.8518518518518519
2025,2,BAL,50,0.1,0.18,0.1,0.9
2025,2,BUF,26,0.11538461538461539,0.2692307692307692,0.15384615384615385,0.8461538461538461
2025,2,CAR,26,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.8461538461538461
2025,2,CHI,28,0.03571428571428571,0.14285714285714285,0,1
2025,2,CIN,43,0.023255813953488372,0.09302325581395349,0.16279069767441862,0.8372093023255814
2025,2,CLE,32,0.0625,0.125,0.15625,0.84375
2025,2,DAL,44,0.06818181818181818,0.13636363636363635,0.045454545454545456,0.9545454545454546
2025,2,DEN,35,0.02857142857142857,0.17142857142857143,0.14285714285714285,0.8571428571428571
2025,2,DET,37,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.8918918918918919
2025,2,GB,47,0.0425531914893617,0.2127659574468085,0.1702127659574468,0.8297872340425532
2025,2,HOU,43,0.11627906976744186,0.16279069767441862,0.06976744186046512,0.9302325581395349
2025,2,IND,30,0.03333333333333333,0,0.13333333333333333,0.8666666666666667
2025,2,JAX,48,0.10416666666666667,0.1875,0.25,0.75
2025,2,KC,24,0.08333333333333333,0.125,0.16666666666666666,0.8333333333333334
2025,2,LA,38,0.15789473684210525,0.23684210526315788,0.10526315789473684,0.8947368421052632
2025,2,LAC,46,0.08695652173913043,0.10869565217391304,0.2608695652173913,0.7391304347826086
2025,2,LV,29,0.06896551724137931,0.10344827586206896,0.20689655172413793,0.7931034482758621
2025,2,MIA,26,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.9230769230769231
2025,2,MIN,24,0.125,0.20833333333333334,0.041666666666666664,0.9583333333333334
2025,2,NE,37,0.13513513513513514,0.1891891891891892,0.05405405405405406,0.9459459459459459
2025,2,NO,42,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.8571428571428571
2025,2,NYG,55,0.09090909090909091,0.12727272727272726,0.16363636363636364,0.8363636363636363
2025,2,NYJ,28,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.8214285714285714
2025,2,PHI,31,0.03225806451612903,0.2903225806451613,0.12903225806451613,0.8709677419354839
2025,2,PIT,35,0.05714285714285714,0.22857142857142856,0.14285714285714285,0.8571428571428571
2025,2,SEA,39,0.05128205128205128,0.1794871794871795,0.1282051282051282,0.8717948717948718
2025,2,SF,37,0.08108108108108109,0.13513513513513514,0.08108108108108109,0.918918918918919
2025,2,TB,28,0.07142857142857142,0.17857142857142858,0.07142857142857142,0.9285714285714286
2025,2,TEN,34,0.029411764705882353,0.17647058823529413,0.11764705882352941,0.8823529411764706
