season,week,game_id,posteam,defteam,player_id,pass_attempt,complete_pass,passing_yards,pass_touchdown,interception,rush_plays,rushing_yards,rush_touchdown,reception,receiving_yards,receiving_touchdown,fumble_lost,rush_inside_10,rush_inside_20,target_inside_10,target_inside_20,total_touches,fantasy_points,total_plays_off,pass_plays_off,rush_plays_off,pass_pct_off,rush_pct_off,red_zone_pass_pct,deep_pass_pct,avg_air_yards_off,avg_yac_off,total_pass_plays,blitz_rate_def,pressure_rate_def,man_coverage_pct_def,zone_coverage_pct_def,gameday,weekday,gametime,home_team,away_team,home_score,away_score,home_rest,away_rest,spread_line,total_line,over_odds,under_odds,home_moneyline,away_moneyline,roof,surface,temp,wind,stadium_id,game_date,passing_yards_rolling_3,pass_attempt_rolling_3,complete_pass_rolling_3,rush_plays_rolling_3,rushing_yards_rolling_3,receiving_yards_rolling_3,reception_rolling_3,total_touches_rolling_3,rush_inside_10_rolling_3,rush_inside_20_rolling_3,target_inside_10_rolling_3,target_inside_20_rolling_3,total_plays_off_rolling_3,pass_plays_off_rolling_3,rush_plays_off_rolling_3,total_pass_plays_rolling_3,avg_yac_off_rolling_3,avg_air_yards_off_rolling_3,fantasy_points_rolling_3,pass_touchdown_rolling_3,rush_touchdown_rolling_3,receiving_touchdown_rolling_3,blitz_rate_def_rolling_3,pressure_rate_def_rolling_3,man_coverage_pct_def_rolling_3,zone_coverage_pct_def_rolling_3,pass_pct_off_rolling_3,rush_pct_off_rolling_3,name
2025,1,2025_01_HOU_LA,LA,HOU,00-0026498,32.0,21.0,245.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,2,34.0,11.8,57,32,25,0.5614035087719298,0.4385964912280701,0.25,,7.793103448275862,3.238095238095238,32,0.125,0.1875,0.03125,0.96875,2025-09-07,Sunday,16:25,LA,HOU,14.0,9.0,7,7,3.5,43.5,-105.0,-115.0,-166.0,140.0,dome,matrixturf,,,LAX01,2025-09-07,245.0,32.0,21.0,2.0,0.0,0.0,0.0,34.0,1.0,1.0,0.0,2.0,57.0,32.0,25.0,32.0,3.238095238095238,7.793103448275862,11.8,1.0,0.0,0.0,0.125,0.1875,0.03125,0.96875,0.5614035087719298,0.4385964912280701,John Stafford
2025,2,2025_02_LA_TEN,LA,TEN,00-0026498,34.0,23.0,298.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,10,34.0,17.92,59,34,25,0.576271186440678,0.423728813559322,0.5555555555555556,,7.9393939393939394,5.739130434782608,34,0.0294117647058823,0.1764705882352941,0.1176470588235294,0.8823529411764706,2025-09-14,Sunday,13:00,TEN,LA,19.0,33.0,7,7,-5.5,41.5,-108.0,-112.0,205.0,-250.0,outdoors,grass,83.0,3.0,NAS00,2025-09-14,271.5,33.0,22.0,1.0,0.0,0.0,0.0,34.0,0.5,0.5,3.5,6.0,58.0,33.0,25.0,33.0,4.488612836438923,7.866248693834901,14.860000000000001,1.5,0.0,0.0,0.07720588235294115,0.18198529411764705,0.07444852941176469,0.9255514705882353,0.5688373476063039,0.43116265239369606,John Stafford
2025,3,2025_03_LA_PHI,LA,PHI,00-0026498,34.0,19.0,196.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,5,34.0,13.84,66,35,31,0.5303030303030303,0.4696969696969697,0.6,,4.941176470588236,3.0,35,0.0571428571428571,0.2,0.1142857142857142,0.8857142857142857,2025-09-21,Sunday,13:00,PHI,LA,33.0,26.0,7,7,3.5,45.5,-112.0,-108.0,-198.0,164.0,outdoors,grass,73.0,9.0,PHI00,2025-09-21,246.33333333333334,33.333333333333336,21.0,0.6666666666666666,0.0,0.0,0.0,34.0,0.3333333333333333,0.3333333333333333,3.3333333333333335,5.666666666666667,60.666666666666664,33.666666666666664,27.0,33.666666666666664,3.9924085576259487,6.891224619419346,14.520000000000001,1.6666666666666667,0.0,0.0,0.07051820728291314,0.18799019607843137,0.08772759103641453,0.9122724089635854,0.5559925751718794,0.44400742482812056,John Stafford
2025,4,2025_04_IND_LA,LA,IND,00-0026498,43.0,29.0,375.0,3.0,0.0,2,6.0,0.0,0.0,0.0,0.0,0.0,0,0,2,4,45.0,27.6,70,44,26,0.6285714285714286,0.3714285714285714,1.0,,8.341463414634147,5.344827586206897,44,0.0681818181818181,0.2045454545454545,0.0909090909090909,0.9090909090909092,2025-09-28,Sunday,16:05,LA,IND,27.0,20.0,7,7,3.5,49.5,-115.0,-105.0,-185.0,154.0,dome,matrixturf,,,LAX01,2025-09-28,289.6666666666667,37.0,23.666666666666668,0.6666666666666666,2.0,0.0,0.0,37.666666666666664,0.0,0.0,4.0,6.333333333333333,65.0,37.666666666666664,27.333333333333332,37.666666666666664,4.694652673663168,7.074011274872109,19.786666666666665,2.3333333333333335,0.0,0.0,0.05157881334351916,0.19367201426024952,0.10761395467277816,0.8923860453272218,0.5783818817717122,0.4216181182282877,John Stafford
2025,5,2025_05_SF_LA,LA,SF,00-0026498,47.0,30.0,389.0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,3,9,48.0,25.56,64,48,16,0.75,0.25,0.6923076923076923,,11.23404255319149,4.0,48,0.0208333333333333,0.0416666666666666,0.0833333333333333,0.9166666666666666,2025-10-02,Thursday,20:15,LA,SF,23.0,26.0,4,4,8.5,43.5,-112.0,-108.0,-440.0,340.0,dome,matrixturf,,,LAX01,2025-10-02,320.0,41.333333333333336,26.0,1.0,2.0,0.0,0.0,42.333333333333336,0.0,0.0,2.6666666666666665,6.0,66.66666666666667,42.333333333333336,24.333333333333332,42.333333333333336,4.114942528735632,8.17222747947129,22.333333333333332,2.6666666666666665,0.0,0.0,0.04871933621933616,0.1487373737373737,0.09617604617604614,0.9038239538239538,0.6362914862914862,0.3637085137085137,John Stafford
2025,6,2025_06_LA_BAL,LA,BAL,00-0026498,28.0,17.0,181.0,1.0,0.0,2,3.0,0.0,0.0,0.0,0.0,1.0,1,1,4,6,30.0,9.54,51,28,23,0.5490196078431373,0.4509803921568627,0.5454545454545454,,8.807692307692308,3.7058823529411766,28,0.0357142857142857,0.0714285714285714,0.0714285714285714,0.9285714285714286,2025-10-12,Sunday,13:00,BAL,LA,3.0,17.0,7,10,-7.0,43.5,-112.0,-108.0,280.0,-355.0,outdoors,grass,64.0,15.0,BAL00,2025-10-12,315.0,39.333333333333336,25.333333333333332,1.6666666666666667,3.0,0.0,0.0,41.0,0.3333333333333333,0.3333333333333333,3.0,6.333333333333333,61.666666666666664,40.0,21.666666666666668,40.0,4.350236646382691,9.461066091839315,20.9,2.3333333333333335,0.0,0.0,0.04157647907647903,0.10588023088023084,0.08189033189033186,0.9181096681096682,0.642530345471522,0.35746965452847806,John Stafford
2025,4,2025_04_CAR_NE,CAR,NE,00-0027973,6.0,5.0,58.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,6.0,6.32,65,37,28,0.5692307692307692,0.4307692307692308,0.6,,5.527777777777778,5.652173913043479,37,0.054054054054054,0.1081081081081081,0.054054054054054,0.945945945945946,2025-09-28,Sunday,13:00,NE,CAR,42.0,13.0,7,7,5.5,42.5,-112.0,-108.0,-265.0,215.0,outdoors,fieldturf,76.0,7.0,BOS00,2025-09-28,58.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,65.0,37.0,28.0,37.0,5.652173913043479,5.527777777777778,6.32,1.0,0.0,0.0,0.054054054054054,0.1081081081081081,0.054054054054054,0.945945945945946,0.5692307692307692,0.4307692307692308,Andrew Dalton
2025,2,2025_02_BUF_NYJ,NYJ,BUF,00-0028118,13.0,7.0,56.0,1.0,0.0,3,21.0,0.0,0.0,0.0,0.0,0.0,0,0,2,3,16.0,8.34,47,26,21,0.5531914893617021,0.4468085106382978,0.75,,7.818181818181818,2.3,26,0.1153846153846153,0.2692307692307692,0.1538461538461538,0.8461538461538461,2025-09-14,Sunday,13:00,NYJ,BUF,10.0,30.0,7,7,-6.0,47.5,-110.0,-110.0,235.0,-290.0,outdoors,fieldturf,80.0,3.0,NYC01,2025-09-14,56.0,13.0,7.0,3.0,21.0,0.0,0.0,16.0,0.0,0.0,2.0,3.0,47.0,26.0,21.0,26.0,2.3,7.818181818181818,8.34,1.0,0.0,0.0,0.1153846153846153,0.2692307692307692,0.1538461538461538,0.8461538461538461,0.5531914893617021,0.4468085106382978,Tyrod Taylor
2025,3,2025_03_NYJ_TB,NYJ,TB,00-0028118,39.0,26.0,197.0,2.0,1.0,7,49.0,0.0,0.0,0.0,0.0,1.0,0,0,4,7,46.0,16.78,63,40,23,0.6349206349206349,0.365079365079365,1.0,,4.472222222222222,4.076923076923077,40,0.15,0.25,0.1,0.9,2025-09-21,Sunday,13:00,TB,NYJ,29.0,27.0,6,7,6.5,43.5,-105.0,-115.0,-345.0,275.0,outdoors,grass,88.0,5.0,TAM00,2025-09-21,126.5,26.0,16.5,5.0,35.0,0.0,0.0,31.0,0.0,0.0,3.0,5.0,55.0,33.0,22.0,33.0,3.1884615384615382,6.145202020202021,12.56,1.5,0.0,0.0,0.13269230769230764,0.2596153846153846,0.12692307692307692,0.8730769230769231,0.5940560621411686,0.4059439378588314,Tyrod Taylor
2025,1,2025_01_NYG_WAS,NYG,WAS,00-0029263,39.0,17.0,168.0,0.0,0.0,8,44.0,0.0,0.0,0.0,0.0,0.0,1,2,8,9,47.0,11.12,62,39,23,0.6290322580645161,0.3709677419354839,0.75,,6.108108108108108,4.941176470588236,39,0.0769230769230769,0.2051282051282051,0.1794871794871795,0.8205128205128205,2025-09-07,Sunday,13:00,WAS,NYG,21.0,6.0,7,7,6.0,45.5,-110.0,-110.0,-298.0,240.0,outdoors,grass,68.0,5.0,WAS00,2025-09-07,168.0,39.0,17.0,8.0,44.0,0.0,0.0,47.0,1.0,2.0,8.0,9.0,62.0,39.0,23.0,39.0,4.941176470588236,6.108108108108108,11.12,0.0,0.0,0.0,0.0769230769230769,0.2051282051282051,0.1794871794871795,0.8205128205128205,0.6290322580645161,0.3709677419354839,Russell Wilson
