season,week,posteam,total_plays,pass_plays,rush_plays,pass_pct,rush_pct,red_zone_pass_pct,deep_pass_pct,avg_air_yards,avg_yards_after_catch
2025,1,ARI,61,34,27,0.5573770491803278,0.4426229508196721,0.4444444444444444,NA,5.724137931034483,4.761904761904762
2025,1,ATL,71,43,28,0.6056338028169014,0.39436619718309857,0.2727272727272727,NA,6.857142857142857,7
2025,1,BAL,50,21,29,0.42,0.58,0.25,NA,9.105263157894736,7.785714285714286
2025,1,BUF,81,50,31,0.6172839506172839,0.38271604938271603,0.5,NA,8.695652173913043,4.484848484848484
2025,1,CAR,61,36,25,0.5901639344262295,0.4098360655737705,0.25,NA,7.685714285714286,3.3333333333333335
2025,1,CHI,63,37,26,0.5873015873015873,0.4126984126984127,0.4,NA,7.514285714285714,3.142857142857143
2025,1,CIN,49,26,23,0.5306122448979592,0.46938775510204084,0.5,NA,7.3478260869565215,3.5
2025,1,CLE,71,47,24,0.6619718309859155,0.3380281690140845,0.5,NA,6.066666666666666,5.580645161290323
2025,1,DAL,56,34,22,0.6071428571428571,0.39285714285714285,0.16666666666666666,0.20588235294117646,9.676470588235293,3.5714285714285716
2025,1,DEN,71,41,30,0.5774647887323944,0.4225352112676056,0.3333333333333333,NA,5.325,3.76
2025,1,DET,65,43,22,0.6615384615384615,0.3384615384615385,0.7692307692307693,NA,4.17948717948718,3.903225806451613
2025,1,GB,47,22,25,0.46808510638297873,0.5319148936170213,0.46153846153846156,0.18181818181818182,11.5,2.4375
2025,1,HOU,57,30,27,0.5263157894736842,0.47368421052631576,0.5,NA,6.37037037037037,3.8421052631578947
2025,1,IND,70,30,40,0.42857142857142855,0.5714285714285714,0.21052631578947367,NA,6.758620689655173,5.090909090909091
2025,1,JAX,63,31,32,0.49206349206349204,0.5079365079365079,0.25,0.0967741935483871,7.193548387096774,4.2105263157894735
2025,1,KC,59,42,17,0.711864406779661,0.288135593220339,0.7777777777777778,NA,6.948717948717949,4.833333333333333
2025,1,LA,57,32,25,0.5614035087719298,0.43859649122807015,0.25,NA,7.793103448275862,3.238095238095238
2025,1,LAC,62,37,25,0.5967741935483871,0.4032258064516129,0.5,NA,10.058823529411764,5.36
2025,1,LV,62,38,24,0.6129032258064516,0.3870967741935484,0.3333333333333333,NA,10.294117647058824,5.833333333333333
2025,1,MIA,47,35,12,0.7446808510638298,0.2553191489361702,0.8,NA,7.548387096774194,4.157894736842105
2025,1,MIN,51,25,26,0.49019607843137253,0.5098039215686274,0.5555555555555556,NA,5.85,5.230769230769231
2025,1,NE,68,50,18,0.7352941176470589,0.2647058823529412,0.6666666666666666,NA,7.673913043478261,3.8
2025,1,NO,69,47,22,0.6811594202898551,0.3188405797101449,0.7,NA,7.304347826086956,3.1481481481481484
2025,1,NYG,62,39,23,0.6290322580645161,0.3709677419354839,0.75,NA,6.108108108108108,4.9411764705882355
2025,1,NYJ,64,24,40,0.375,0.625,0.15384615384615385,NA,7.681818181818182,4.75
2025,1,PHI,62,24,38,0.3870967741935484,0.6129032258064516,0.125,NA,4.869565217391305,3.210526315789474
2025,1,PIT,54,34,20,0.6296296296296297,0.37037037037037035,0.42857142857142855,NA,4.633333333333334,7.863636363636363
2025,1,SEA,50,24,26,0.48,0.52,0.125,NA,8.565217391304348,2.9375
2025,1,SF,72,36,36,0.5,0.5,0.5,NA,7.428571428571429,4.653846153846154
2025,1,TB,56,33,23,0.5892857142857143,0.4107142857142857,0.5,NA,10.4375,2.6470588235294117
2025,1,TEN,55,34,21,0.6181818181818182,0.38181818181818183,0.16666666666666666,NA,10.5,5.333333333333333
2025,1,WAS,65,33,32,0.5076923076923077,0.49230769230769234,0.3333333333333333,NA,9.3,5.105263157894737
2025,2,ARI,48,26,22,0.5416666666666666,0.4583333333333333,0.6,NA,6.4,6.647058823529412
2025,2,ATL,63,24,39,0.38095238095238093,0.6190476190476191,0.5,NA,6.285714285714286,4.538461538461538
2025,2,BAL,53,32,21,0.6037735849056604,0.39622641509433965,0.6666666666666666,NA,9.413793103448276,3.473684210526316
2025,2,BUF,71,28,43,0.39436619718309857,0.6056338028169014,0.35714285714285715,NA,5.407407407407407,7
2025,2,CAR,79,58,21,0.7341772151898734,0.26582278481012656,0.75,NA,6.818181818181818,4.285714285714286
2025,2,CHI,64,37,27,0.578125,0.421875,0.5714285714285714,NA,10.212121212121213,4.142857142857143
2025,2,CIN,65,48,17,0.7384615384615385,0.26153846153846155,0.6666666666666666,NA,8,4.678571428571429
2025,2,CLE,72,50,22,0.6944444444444444,0.3055555555555556,1,NA,6.5,3.4285714285714284
2025,2,DAL,83,55,28,0.6626506024096386,0.3373493975903614,0.6,NA,6.730769230769231,3.8684210526315788
2025,2,DEN,54,30,24,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.06666666666666667,4.9,5.590909090909091
2025,2,DET,58,28,30,0.4827586206896552,0.5172413793103449,0.3125,0.14285714285714285,9.785714285714286,7.173913043478261
2025,2,GB,63,33,30,0.5238095238095238,0.47619047619047616,0.38461538461538464,NA,13.161290322580646,6.842105263157895
2025,2,HOU,47,28,19,0.5957446808510638,0.40425531914893614,0.75,NA,8.125,9.538461538461538
2025,2,IND,67,35,32,0.5223880597014925,0.47761194029850745,0.5555555555555556,NA,9.676470588235293,5.695652173913044
2025,2,JAX,70,43,27,0.6142857142857143,0.38571428571428573,0.6111111111111112,NA,7.333333333333333,6.375
2025,2,KC,57,31,26,0.543859649122807,0.45614035087719296,0.2857142857142857,NA,10.655172413793103,4.25
