game_id,season,week,gameday,weekday,gametime,home_team,away_team,home_score,away_score,home_rest,away_rest,spread_line,total_line,over_odds,under_odds,home_moneyline,away_moneyline,roof,surface,temp,wind,stadium_id,game_date,total_plays_off,pass_plays_off,rush_plays_off,pass_pct_off,rush_pct_off,red_zone_pass_pct_off,deep_pass_pct_off,avg_air_yards_off,avg_yac_off,total_pass_plays,blitz_rate_def,pressure_rate_def,man_coverage_pct_def,zone_coverage_pct_def,posteam,defteam
2021_01_DEN_NYG,2021,1,2021-09-12,Sunday,16:25,NYG,DEN,13,27,7,7,-3.0,41.5,-106,-105,125,-139,outdoors,fieldturf,82.0,19.0,NYC01,2021-09-12,59,39,20,0.6610169491525424,0.3389830508474576,0.7692307692307693,0.0,8.27027027027027,3.136363636363636,39,0.0769230769230769,0.0769230769230769,0.1282051282051282,0.8717948717948718,NYG,DEN
2021_01_CHI_LA,2021,1,2021-09-12,Sunday,20:20,LA,CHI,34,14,7,7,9.5,46.0,-104,-107,-387,324,dome,matrixturf,0.0,0.0,LAX01,2021-09-12,50,27,23,0.54,0.46,0.4615384615384615,0.0,8.76923076923077,7.0,27,0.0,0.1111111111111111,0.037037037037037,0.9629629629629628,LA,CHI
2021_01_BAL_LV,2021,1,2021-09-13,Monday,20:15,LV,BAL,33,27,7,7,-3.0,50.5,-100,-111,149,-167,dome,grass,0.0,0.0,VEG00,2021-09-13,80,59,21,0.7375,0.2625,0.6923076923076923,0.0,9.821428571428571,4.970588235294118,59,0.0508474576271186,0.1186440677966101,0.0847457627118644,0.9152542372881356,LV,BAL
2021_02_NYG_WAS,2021,2,2021-09-16,Thursday,20:20,WAS,NYG,30,29,4,4,4.0,42.0,100,-112,-198,176,outdoors,grass,71.0,0.0,WAS00,2021-09-16,69,47,22,0.6811594202898551,0.3188405797101449,0.6,0.0,7.586956521739131,4.323529411764706,47,0.0212765957446808,0.0425531914893617,0.0851063829787234,0.9148936170212766,WAS,NYG
2021_02_NO_CAR,2021,2,2021-09-19,Sunday,13:00,CAR,NO,26,7,7,7,-3.0,45.0,-105,-106,131,-145,outdoors,grass,83.0,4.0,CAR00,2021-09-19,73,40,33,0.547945205479452,0.4520547945205479,0.3,0.0,7.243243243243243,6.2,40,0.05,0.075,0.1,0.9,CAR,NO
2021_02_CIN_CHI,2021,2,2021-09-19,Sunday,13:00,CHI,CIN,20,17,7,7,2.0,44.5,-104,-107,-126,114,outdoors,grass,80.0,0.0,CHI98,2021-09-19,61,27,34,0.4426229508196721,0.5573770491803278,0.4444444444444444,0.0,7.291666666666667,2.066666666666667,27,0.1111111111111111,0.1851851851851851,0.1481481481481481,0.8518518518518519,CHI,CIN
2021_02_HOU_CLE,2021,2,2021-09-19,Sunday,13:00,CLE,HOU,31,21,7,7,13.5,48.5,-115,103,-675,521,outdoors,grass,75.0,12.0,CLE00,2021-09-19,57,23,34,0.4035087719298245,0.5964912280701754,0.2,0.0,6.238095238095238,6.473684210526316,23,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.9565217391304348,CLE,HOU
2021_02_LA_IND,2021,2,2021-09-19,Sunday,13:00,IND,LA,24,27,7,7,-4.0,48.0,103,-115,182,-205,closed,fieldturf,0.0,0.0,IND00,2021-09-19,66,40,26,0.6060606060606061,0.3939393939393939,0.5,0.0,8.166666666666666,5.545454545454546,40,0.05,0.25,0.1,0.9,IND,LA
2021_02_DEN_JAX,2021,2,2021-09-19,Sunday,13:00,JAX,DEN,13,23,7,7,-6.0,45.0,-104,-107,211,-241,outdoors,grass,80.0,7.0,JAX00,2021-09-19,51,35,16,0.6862745098039216,0.3137254901960784,0.5,0.0,12.272727272727272,2.7857142857142856,35,0.0857142857142857,0.0857142857142857,0.1428571428571428,0.8571428571428571,JAX,DEN
2021_02_BUF_MIA,2021,2,2021-09-19,Sunday,13:00,MIA,BUF,0,35,7,7,-3.5,48.0,-109,-103,160,-179,outdoors,grass,89.0,7.0,MIA00,2021-09-19,70,50,20,0.7142857142857143,0.2857142857142857,0.8333333333333334,0.0,4.818181818181818,3.36,50,0.12,0.22,0.12,0.88,MIA,BUF
