game_id,season,week,gameday,weekday,gametime,home_team,away_team,home_score,away_score,home_rest,away_rest,spread_line,total_line,over_odds,under_odds,home_moneyline,away_moneyline,roof,surface,temp,wind,stadium_id,game_date
2021_03_WAS_BUF,2021,3,2021-09-26,Sunday,13:00,BUF,WAS,43,21,7,10,7.5,45.5,-106,-105,-330,281,outdoors,a_turf,67,21,BUF00,2021-09-26
2021_03_CHI_CLE,2021,3,2021-09-26,Sunday,13:00,CLE,CHI,26,6,7,7,7.5,45,-105,-106,-375,315,outdoors,grass ,70,22,CLE00,2021-09-26
2021_03_BAL_DET,2021,3,2021-09-26,Sunday,13:00,DET,BAL,17,19,6,7,-7.5,51,-106,-105,292,-344,dome,fieldturf,NA,NA,DET00,2021-09-26
2021_03_ARI_JAX,2021,3,2021-09-26,Sunday,13:00,JAX,ARI,19,31,7,7,-8,51.5,-107,-104,304,-360,outdoors,grass ,81,4,JAX00,2021-09-26
2021_03_LAC_KC,2021,3,2021-09-26,Sunday,13:00,KC,LAC,24,30,7,7,6.5,55,-103,-108,-273,237,outdoors,grass ,81,19,KAN00,2021-09-26
2021_03_NO_NE,2021,3,2021-09-26,Sunday,13:00,NE,NO,13,28,7,7,3,44,102,-114,-144,130,outdoors,fieldturf,73,11,BOS00,2021-09-26
2021_03_ATL_NYG,2021,3,2021-09-26,Sunday,13:00,NYG,ATL,14,17,10,7,3,48,-101,-110,-143,129,outdoors,fieldturf,69,13,NYC01,2021-09-26
2021_03_CIN_PIT,2021,3,2021-09-26,Sunday,13:00,PIT,CIN,10,24,7,7,2.5,42.5,101,-112,-140,126,outdoors,grass ,67,9,PIT00,2021-09-26
2021_03_IND_TEN,2021,3,2021-09-26,Sunday,13:00,TEN,IND,25,16,7,7,4.5,47,-107,-104,-196,175,outdoors,grass ,72,4,NAS00,2021-09-26
2021_03_NYJ_DEN,2021,3,2021-09-26,Sunday,16:05,DEN,NYJ,26,0,7,7,10.5,42,-104,-107,-597,470,outdoors,grass ,82,6,DEN00,2021-09-26
2021_03_MIA_LV,2021,3,2021-09-26,Sunday,16:05,LV,MIA,31,28,7,7,4,45,-111,-100,-194,173,dome,grass,NA,NA,VEG00,2021-09-26
2021_03_TB_LA,2021,3,2021-09-26,Sunday,16:25,LA,TB,34,24,7,7,-1,55,-109,-102,-104,-106,dome,matrixturf,NA,NA,LAX01,2021-09-26
2021_03_SEA_MIN,2021,3,2021-09-26,Sunday,16:25,MIN,SEA,30,17,7,7,-2,53.5,-107,-104,109,-120,dome,sportturf,NA,NA,MIN01,2021-09-26
2021_03_GB_SF,2021,3,2021-09-26,Sunday,20:20,SF,GB,28,30,7,6,3.5,50.5,-108,-103,-179,160,outdoors,grass,69,15,SFO01,2021-09-26
2021_03_PHI_DAL,2021,3,2021-09-27,Monday,20:15,DAL,PHI,41,21,8,8,3.5,51.5,-101,-110,-189,168,open,matrixturf,NA,NA,DAL00,2021-09-27
2021_04_JAX_CIN,2021,4,2021-09-30,Thursday,20:20,CIN,JAX,24,21,4,4,7.5,46,-113,101,-373,313,outdoors,fieldturf,65,0,CIN00,2021-09-30
2021_04_WAS_ATL,2021,4,2021-10-03,Sunday,13:00,ATL,WAS,30,34,7,7,-1,47.5,102,-114,106,-117,open,fieldturf,NA,NA,ATL97,2021-10-03
2021_04_HOU_BUF,2021,4,2021-10-03,Sunday,13:00,BUF,HOU,40,0,7,10,19,47.5,-105,-106,-1500,988,outdoors,a_turf,67,12,BUF00,2021-10-03
2021_04_DET_CHI,2021,4,2021-10-03,Sunday,13:00,CHI,DET,24,14,7,7,3,42,-101,-110,-148,134,outdoors,grass ,72,4,CHI98,2021-10-03
2021_04_CAR_DAL,2021,4,2021-10-03,Sunday,13:00,DAL,CAR,36,28,6,10,4.5,51.5,102,-114,-210,186,closed,matrixturf,NA,NA,DAL00,2021-10-03
2021_04_IND_MIA,2021,4,2021-10-03,Sunday,13:00,MIA,IND,17,27,7,7,2.5,41.5,-107,-104,-144,130,outdoors,grass ,85,16,MIA00,2021-10-03
2021_04_CLE_MIN,2021,4,2021-10-03,Sunday,13:00,MIN,CLE,7,14,7,7,-1,52,-114,102,-106,-105,dome,sportturf,NA,NA,MIN01,2021-10-03
2021_04_NYG_NO,2021,4,2021-10-03,Sunday,13:00,NO,NYG,21,27,7,7,7.5,43,-115,103,-337,286,dome,sportturf,NA,NA,NOR00,2021-10-03
2021_04_TEN_NYJ,2021,4,2021-10-03,Sunday,13:00,NYJ,TEN,27,24,7,7,-5.5,44.5,-105,-106,206,-234,outdoors,fieldturf,78,9,NYC01,2021-10-03
2021_04_KC_PHI,2021,4,2021-10-03,Sunday,13:00,PHI,KC,30,42,6,7,-7.5,53.5,-106,-105,296,-349,outdoors,grass ,73,8,PHI00,2021-10-03
2021_04_ARI_LA,2021,4,2021-10-03,Sunday,16:05,LA,ARI,20,37,7,7,3.5,53.5,-110,-101,-200,178,dome,matrixturf,NA,NA,LAX01,2021-10-03
2021_04_SEA_SF,2021,4,2021-10-03,Sunday,16:05,SF,SEA,21,28,7,7,2.5,52,-103,-108,-133,120,outdoors,grass,80,0,SFO01,2021-10-03
